Line,Analysis,Time Code,Port,Inj Nr,d(18_16)Mean,d(D_H)Mean,H2O_Mean,Ignore,Good,Identifier 1,Identifier 2,Gas Configuration,Timestamp Mean,d(18_16)_SD,d(D_H)_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,DAS Temp,Tray,Sample,Job,Method,Error Code
,P-8435,2019/06/10 18:53:00,01-01,9,-7.529,-61.13,18561,0,1,EV,RM,H2O,1560214685,0.302,0.783,83.368,0,-0.002,1.959,1308.171,8.779,2.955,109.147,0.865,1.271,0,0,1,44.812,1,1,1,GJB_Rinse,0
10,P-8435,2019/06/10 19:01:57,01-01,10,-7.633,-61.27,18475,0,1,EV,RM,H2O,1560215221,0.31,0.743,82.869,0,0.002,1.968,1307.772,8.032,2.915,108.43,0.861,1.072,0,0,1,45,1,1,1,GJB_Rinse,0
19,P-8436,2019/06/10 20:23:17,01-02,9,4.734,38.77,17426,0,1,PZ,RM,H2O,1560220101,0.32,0.787,81.606,-0.001,-0.003,1.941,1299.397,7.739,2.81,102.453,0.865,1.105,0,0,1,45.25,1,2,1,GJB_Rinse,0
20,P-8436,2019/06/10 20:32:15,01-02,10,4.724,39.163,17614,0,1,PZ,RM,H2O,1560220639,0.33,0.829,81.707,-0.001,-0.004,1.944,1300.326,7.785,2.877,105.345,0.865,1.405,0,0,1,45.25,1,2,1,GJB_Rinse,0
29,P-8437,2019/06/10 21:53:39,01-03,9,-13.306,-112.086,17976,0,1,UT2,RM,H2O,1560225523,0.279,0.737,79.816,0,0.005,1.885,1302.509,8.992,2.879,106.321,0.866,1.611,0,0,1,45.25,1,3,1,GJB_Rinse,0
30,P-8437,2019/06/10 22:02:36,01-03,10,-13.402,-112.341,18085,0,1,UT2,RM,H2O,1560226060,0.345,0.847,82.663,0.001,0.006,1.953,1303.416,8.785,2.855,105.843,0.865,1.325,0,0,1,45.25,1,3,1,GJB_Rinse,0
39,P-8438,2019/06/10 23:23:58,01-04,9,-7.495,-60.737,18311,0,1,EV,RM,H2O,1560230941,0.316,0.761,82.725,-0.001,-0.002,1.962,1305.26,7.897,2.94,108.64,0.873,1.253,0,0,1,45.438,1,4,1,GJB_Rinse,0
40,P-8438,2019/06/10 23:32:54,01-04,10,-7.53,-60.687,18047,0,1,EV,RM,H2O,1560231478,0.321,0.701,84.296,0,0.003,1.992,1303.264,8.672,2.847,105.031,0.871,1.246,0,0,1,45.5,1,4,1,GJB_Rinse,0
43,P-8439,2019/06/11 0:00:36,01-05,3,-14.366,-123.195,17972,-1,1,GRP3-1,,H2O,1560233140,0.308,0.718,80.633,0,0.006,1.918,1302.463,9.239,2.843,104.698,0.88,1.303,0,0,1,45.5,1,5,2,GJB_Rinse,0
44,P-8439,2019/06/11 0:09:33,01-05,4,-14.463,-123.673,17976,0,1,GRP3-1,,H2O,1560233677,0.342,0.826,83.055,0,0.005,1.967,1302.424,9.166,2.825,105.439,0.874,1.188,0,0,1,45.562,1,5,2,GJB_Rinse,0
47,P-8440,2019/06/11 0:37:16,01-06,3,-13.408,-114.215,18319,-1,1,GRP3-2,,H2O,1560235340,0.284,0.655,81.121,0,0.004,1.922,1304.989,9.28,2.89,106.762,0.884,1.311,0,0,1,45.562,1,6,2,GJB_Rinse,0
48,P-8440,2019/06/11 0:46:12,01-06,4,-13.438,-114.328,18055,0,1,GRP3-2,,H2O,1560235876,0.264,0.742,82.729,0,0.004,1.953,1303.079,9.07,2.82,105.912,0.873,1.312,0,0,1,45.562,1,6,2,GJB_Rinse,0
51,P-8441,2019/06/11 1:13:55,01-07,3,-14.873,-123.01,17238,-1,1,GRP3-3,,H2O,1560237539,0.316,0.744,77.4,0,0.005,1.846,1297.624,8.263,2.741,101.234,0.884,1.279,0,0,1,45.562,1,7,2,GJB_Rinse,0
52,P-8441,2019/06/11 1:22:52,01-07,4,-14.853,-122.914,17820,0,1,GRP3-3,,H2O,1560238076,0.321,0.799,79.154,0,0.002,1.875,1301.518,9.126,2.842,103.841,0.878,1.257,0,0,1,45.625,1,7,2,GJB_Rinse,0
55,P-8442,2019/06/11 1:50:33,01-08,3,-14.833,-122.389,17955,-1,1,GRP3-4,,H2O,1560239736,0.31,0.802,81.887,0.001,0.006,1.939,1302.386,8.763,2.905,106.406,0.884,1.388,0,0,1,45.625,1,8,2,GJB_Rinse,0
56,P-8442,2019/06/11 1:59:28,01-08,4,-14.81,-122.394,17980,0,1,GRP3-4,,H2O,1560240273,0.302,0.694,82.451,0.002,0.004,1.95,1302.632,9.122,2.861,104.704,0.879,1.173,0,0,1,45.562,1,8,2,GJB_Rinse,0
59,P-8443,2019/06/11 2:27:09,01-09,3,-15.027,-124.188,17985,-1,1,GRP3-5,,H2O,1560241933,0.309,0.719,81.705,0,0,1.935,1302.492,9.16,2.878,105.52,0.879,1.347,0,0,1,45.562,1,9,2,GJB_Rinse,0
60,P-8443,2019/06/11 2:36:06,01-09,4,-15.066,-124.1,18044,0,1,GRP3-5,,H2O,1560242469,0.297,0.737,80.103,-0.001,0.003,1.897,1302.499,9.704,2.906,106.225,0.869,1.465,0,0,1,45.562,1,9,2,GJB_Rinse,0
63,P-8444,2019/06/11 3:03:47,1-10,3,-14.811,-122.424,18047,-1,1,GRP3-6,,H2O,1560244131,0.303,0.797,81.291,0,0.003,1.919,1302.991,8.874,2.864,105.692,0.882,1.218,0,0,1,45.438,1,10,2,GJB_Rinse,0
64,P-8444,2019/06/11 3:12:44,1-10,4,-14.791,-122.435,17907,0,1,GRP3-6,,H2O,1560244668,0.307,0.824,79.754,0.001,0.003,1.899,1302.096,8.778,2.87,105.897,0.875,1.393,0,0,1,45.562,1,10,2,GJB_Rinse,0
67,P-8445,2019/06/11 3:40:24,1-11,3,-14.664,-121.063,17964,-1,1,GRP3-7,,H2O,1560246328,0.31,0.792,80.954,-0.001,0.005,1.916,1301.998,9.271,2.856,106.487,0.874,1.558,0,0,1,45.688,1,11,2,GJB_Rinse,0
68,P-8445,2019/06/11 3:49:21,1-11,4,-14.632,-121.17,17964,0,1,GRP3-7,,H2O,1560246865,0.296,0.766,85.042,0,0.004,2.013,1302.462,8.76,2.854,105.68,0.88,1.304,0,0,1,45.688,1,11,2,GJB_Rinse,0
71,P-8446,2019/06/11 4:17:03,1-12,3,-14.734,-121.679,17889,-1,1,GRP3-8,,H2O,1560248527,0.303,0.669,80.138,0,0.002,1.908,1301.793,9.407,2.799,104.001,0.88,1.008,0,0,1,45.625,1,12,2,GJB_Rinse,0
72,P-8446,2019/06/11 4:26:00,1-12,4,-14.779,-121.709,17945,0,1,GRP3-8,,H2O,1560249064,0.313,0.802,78.689,-0.001,0.005,1.878,1302.184,8.91,2.853,105.672,0.877,1.599,0,0,1,45.625,1,12,2,GJB_Rinse,0
75,P-8447,2019/06/11 4:53:43,1-13,3,-7.707,-62.733,17638,-1,1,EV,RM,H2O,1560250727,0.339,0.712,80.917,0,-0.002,1.921,1300.196,8.533,2.77,103.26,0.872,1.25,0,0,1,45.562,1,13,2,GJB_Rinse,0
76,P-8447,2019/06/11 5:02:39,1-13,4,-7.691,-62.361,17714,0,1,EV,RM,H2O,1560251263,0.323,0.701,80.709,-0.001,-0.001,1.912,1300.336,8.912,2.856,104.953,0.874,1.332,0,0,1,45.562,1,13,2,GJB_Rinse,0
79,P-8448,2019/06/11 5:30:20,1-14,3,-14.694,-120.42,18054,-1,1,GRP3-9,,H2O,1560252924,0.34,0.696,78.763,-0.002,0.002,1.878,1302.855,9.377,2.875,105.848,0.878,1.374,0,0,1,45.5,1,14,2,GJB_Rinse,0
80,P-8448,2019/06/11 5:39:17,1-14,4,-14.773,-121.026,17948,0,1,GRP3-9,,H2O,1560253460,0.332,0.779,82.998,0,0.007,1.973,1302.024,9.155,2.843,105.845,0.882,1.31,0,0,1,45.5,1,14,2,GJB_Rinse,0
83,P-8449,2019/06/11 6:06:57,1-15,3,-7.618,-61.951,17977,-1,1,EV,RM,H2O,1560255121,0.292,0.8,80.554,0,0.001,1.914,1302.55,8.628,2.829,105.175,0.876,1.121,0,0,1,45.5,1,15,2,GJB_Rinse,0
84,P-8449,2019/06/11 6:15:52,1-15,4,-7.601,-61.679,18027,0,1,EV,RM,H2O,1560255656,0.311,0.748,81.323,0,-0.001,1.918,1302.72,8.652,2.876,106.898,0.878,1.492,0,0,1,45.438,1,15,2,GJB_Rinse,0
